.	0	2	5	6	7	8	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	0	372592	372593	372596	407463	409698	901271	1224849	1232047	1232141	1232151	1238420	1639679	1645173	1652115	1654034	1910028	1910730	2023194	2335088	2395314	2662389	3429060	4991419	5628966	5648556	12886788	27103821	27574104	29096994	34556200	34652171	34652188	34835450	34996667	36344556	
.	1	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	1	343158	343159	343171	374327	376418	376422	731089	1071981	1080292	1080398	1080409	1092047	1573358	1578610	1584640	1587127	1867705	1868446	1991960	2218493	2288199	2670179	3232105	4504469	5277544	5299128	12002893	24200893	24914631	26609689	34557941	34654238	34654252	34839545	35004769	36344556	
.	2	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	2	346174	346175	346182	375402	377750	377762	721252	1026382	1033925	1034003	1034022	1044581	1460611	1464844	1471239	1472737	1731270	1732197	1860831	2095126	2157438	2498697	3084683	4402659	5096428	5114990	11584201	23289693	24174822	25323413	34553856	34650616	34650624	34829929	35003573	36344556	
.	3	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	3	346536	346540	346554	372946	375502	375514	693114	993700	1000234	1000337	1000363	1002162	1141720	1219420	1224754	1401445	1638258	1639419	1722977	1733527	1790350	2014920	2282435	2705182	3191809	3201442	8204419	8258615	10276521	11585133	11603315	19591880	19591903	34828709	35002130	36344556	
.	4	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	4	368845	368849	368866	392501	395082	395115	706076	1004824	1010553	1010660	1010677	1012684	1187797	1254978	1260527	1402850	1613284	1614367	1729551	1740383	1813466	2035843	2356914	2767888	3271478	3280913	8403724	8454322	10539596	11867924	11885563	19714630	19714655	34831751	35003912	36344556	
.	5	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	5	393443	393445	393505	401323	471778	471863	699828	764850	850080	881959	966722	1007444	1056829	1191016	1245733	1314412	1437730	1460604	1565737	1688035	1755288	1975587	2222730	2644172	2973991	3200447	4854760	5407236	6873376	11639233	11659043	18718046	19354647	34666546	34820540	34926028	35305655	36344556	
.	6	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	6	413701	413713	413809	421743	492210	492321	743042	821157	919325	950881	1045413	1079624	1131519	1280427	1345242	1418492	1531084	1554857	1668787	1795502	1865572	2093982	2357439	2783046	3103044	3348220	4988368	5446403	6855658	11695038	11713346	18503749	19167974	34673447	34833198	34929613	35317365	36344556	
.	7	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	7	427923	427938	428042	435834	506721	506861	757928	827919	957236	974729	1046435	1080945	1133910	1281868	1343472	1411217	1542301	1566602	1663050	1787299	1857607	2087524	2341147	2789562	3099247	3356744	4984128	5484469	6915062	11671431	11689831	18462785	19101453	34686940	34850032	34946026	35339128	36344556	
.	8	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	8	440850	440879	441106	449747	530394	530603	787921	850560	1034429	1037747	1047031	1086708	1137713	1292506	1348316	1401797	1585261	1607992	1652800	1761725	1811538	2045756	2127431	2733096	2932010	3081507	3873926	4214580	5163736	6773030	7293624	13540283	13724775	17732140	20284605	34951991	35351844	36344556	
.	9	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	9	459748	459797	460115	468659	548202	548653	808201	868582	1065343	1068518	1069020	1113559	1169591	1323705	1381408	1432276	1625172	1650691	1694207	1807921	1864442	2097825	2189731	2847637	3017728	3174047	3980852	4341802	5341102	6937602	7454998	13705644	13925231	17915503	20610982	34961601	35367891	36344556	
