.	0	2	10	11	16	19	20	22	23	24	25	26	27	28	30	31	32	33	34	
.	0	3400	24057	35088	74854	75324	86056	95036	142030	147018	181748	315740	543542	668558	1716717	5953339	5987143	6529967	10540378	
.	1	2	10	11	16	19	20	22	23	24	25	26	27	28	30	31	32	33	34	
.	1	1882	23262	33652	84921	85584	96801	117439	154461	160047	207532	320126	566445	712445	1684787	5219981	5272759	5726835	10540378	
.	2	2	10	11	16	19	20	22	23	24	25	26	27	28	30	31	32	33	34	
.	2	171	16319	26332	67977	68240	77635	97487	132441	138480	179627	291210	549168	687100	1628506	5033295	5094770	5420880	10540378	
.	3	2	10	11	16	19	20	22	24	25	26	27	28	29	30	31	32	33	35	37	
.	3	134	18275	30053	50555	69287	79277	92890	99532	136646	194676	222297	341804	343124	867606	871062	1121699	1434967	3909273	10540378	
.	4	2	10	11	16	19	20	22	24	25	26	27	28	29	30	31	32	33	35	37	
.	4	183	22578	34727	64731	84822	93241	113967	120964	164856	241400	269578	400543	402273	954780	959974	1245337	1579364	3989684	10540378	
.	5	2	6	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	5	105	106	3794	3795	17158	21577	25213	26190	29738	33292	40900	54290	63211	74443	79517	83663	89085	113197	119235	165541	224628	262295	319551	392440	630710	697848	979372	1558231	1558237	3753824	3900015	10540378	
.	6	2	6	7	8	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	6	130	134	135	4330	21094	27015	30904	31921	35903	39257	47989	65521	77168	90170	95000	99384	105657	132092	138354	190847	256732	296926	358497	433412	682724	740044	1027783	1632126	1632133	3788108	3942983	10540378	
.	7	2	6	7	8	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	7	270	273	274	4543	21659	27097	32932	33577	37028	40434	49297	66007	76827	88534	94274	98660	104635	129603	136193	188300	251069	295880	354366	426077	672296	733872	1023683	1618129	1618137	3786742	3940918	10540378	
.	8	2	5	6	7	8	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	8	200	201	209	211	5581	24728	30005	38380	38383	38850	43180	51604	71513	81220	90234	99481	103513	106275	128363	133253	188795	208283	294555	333869	368564	535402	600537	821396	1105669	1230326	2236925	2246543	3470695	4219510	10540378	
.	9	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	9	293	295	304	312	6457	6461	26661	31977	39969	39974	39982	45160	55401	77035	88551	98407	108027	113239	116470	141205	146267	203928	227456	330419	363939	403544	581237	649679	896217	1188777	1320301	2358541	2369400	3618722	4422592	10540378	
.	10	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	10	204	209	223	231	6309	6320	21745	24935	31398	31406	31418	36736	47375	61723	70719	77678	85635	91950	95373	120202	125129	178013	199498	300979	320859	358792	526058	606478	849433	1124097	1245524	2293317	2303901	3568811	4449088	10540378	
.	11	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	11	287	300	323	349	8325	8362	27626	31558	39035	39048	39075	45190	58556	74819	86997	95032	103677	111576	115521	144745	150230	208780	233499	350986	365823	406692	584320	663427	913301	1189084	1313690	2355523	2366495	3611228	4475317	10540378	
.	12	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	12	334	346	381	427	8827	8910	27946	31571	38386	38407	38432	45697	58636	74310	84758	92244	100896	108360	112352	141850	147224	208325	231397	349363	363121	401666	582223	665498	919206	1192844	1318430	2374103	2384911	3643245	4514565	10540378	
.	13	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	13	402	416	496	577	10496	10635	30281	34203	40852	40886	40939	41902	60541	79123	88116	95662	104463	112625	116543	136039	151379	213259	234253	352812	365025	400509	487530	654708	808705	1109680	1253178	1697445	2166285	2525833	3549623	4202362	6349781	10540378	
.	14	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	14	521	539	651	755	10068	10311	28656	32495	39276	39317	39375	40872	59927	75453	84428	92316	100806	109818	114287	134702	152281	213430	235206	351434	366044	405841	495120	666014	821090	1137884	1275459	1727280	2205463	2560514	3620973	4228543	6403309	10540378	
.	15	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	15	708	728	886	1045	11591	12051	31773	35357	42223	42288	42424	44499	64880	80383	90671	98908	107748	118419	123403	145586	165259	227830	250809	370013	384831	428550	522034	696030	851407	1176498	1312806	1768853	2249732	2606890	3677837	4284385	6461610	10540378	
.	16	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	16	979	998	1250	1437	12709	13381	32561	36867	39876	41314	43468	47423	68131	83694	94038	102231	102898	119245	124115	150937	168107	231569	259165	355188	365711	423782	514290	653078	812697	1047488	1265313	1434862	1936281	2460852	3716417	4341191	6513827	10540378	
.	17	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	17	1360	1392	1712	1992	14029	15254	34643	38754	41662	43053	45342	50276	70969	85921	97078	105918	106813	123528	128686	156641	176875	241353	270125	364906	375320	434939	532215	672270	833257	1074407	1292805	1469988	1974136	2504766	3776356	4402550	6579205	10540378	
.	18	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	18	1876	1905	2310	2766	15119	16989	36463	40799	43872	45425	48102	54307	72907	76680	100235	109686	110980	128302	133807	162080	184798	248706	279006	372544	383783	443571	548037	687013	847069	1012806	1314269	1500365	1949521	2504494	3677491	4417182	6616577	10540378	
.	19	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	19	2595	2628	3212	3757	15442	18079	35907	40007	42985	44681	47266	54441	72310	76694	98497	108069	109636	126542	131766	159685	185769	246044	276850	367394	378778	438136	547929	684051	840732	1006073	1307208	1500808	1943839	2506364	3684651	4440404	6642161	10540378	
.	20	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	20	3537	3573	4335	5139	17817	21500	39453	43460	46626	48593	51557	60127	78191	83230	103868	114399	116308	134119	139935	168544	198412	258498	290007	379238	391262	452430	568629	705288	858265	1029452	1330318	1535333	1977700	2538712	3724635	4482784	6684480	10540378	
.	21	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	21	4849	4896	5849	6815	20066	24739	41918	45716	49067	51194	54296	64464	82918	88360	107285	118377	120800	139815	146180	175577	208249	267610	300204	387587	400174	462295	586291	723616	875058	1050448	1349851	1567055	2006017	2570004	3768538	4530528	6734790	10540378	
.	22	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
